2022北市聯賽,2022/07/03,社子C,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
川弘,0,0,0,0,0,,,,,,,,,,,,,,,
Super8,1,0,5,3,-,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,,,,,,,,,
劉兆珩,8,12,3,,1,,7,,,,,,,,,,,,,
方元廷,28,3,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,3,4,5,6,7,8,9,10,11
1,陳宥竣,7,6;3,2;0,,,2,0,BB,,BB,FC,,,,,,,,
2,陳昱仁,58,7;6,2;0,,,1,1,K,,H,,HBP,,,,,,,
3,方元廷,28,3;1,,,,1,1,GO,,GO,,FC,,,,,,,
4,鄭凱駿,2,2,,0;1;0,,2,0,K,,HBP,,HBP,,,,,,,
5,林凌,00,5,1;0,,,2,2,FO,,H,,E,,,,,,,
6,洪暘昕,18,9;7,1;0,,,,0,,GO,BB,,K,,,,,,,
7,蘇柏恩,23,DH,,,,,0,,K,K,,,,,,,,,
7,劉兆珩,8,1;9,1;0,,,,0,,,,,K,,,,,,,
8,張紘睿,5,4,,,,,1,,FO,BB,,,,,,,,,
9,郭東昇,27,8,,,,1,1,,,BB,BB,,,,,,,,
9,邱冠融,73,8,,,,,0,,,,,,,,,,,,
