雙和聯盟20季,2023/07/30,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,1,5,0,5,,,,,,,,,,,,,,,
雷希特人,2,2,0,2,1,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,3,0,6,0,11,6,7,4,2;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6;3,1;0,,,2,,G,,E,G,BB,,,,,,,
2,張紘睿,5,4,1;1,,1;0,1,,F,,E,,,,,,,,,
2,楊皓為,68,4,2;0,,1;0,1,2,,,,K,H,,,,,,,
3,何世馨,66,8,,,,1,3,H,,H,G,H,,,,,,,
4,鄭凱駿,2,5,2;1,,,1,1,G,,HBP,H,H,,,,,,,
5,方元廷,28,DH,,,,1,,,H,E,F,G,,,,,,,
6,蘇柏恩,23,3,,,,1,1,,G,HBP,,,,,,,,,
6,劉彧,12,3,,,,,,,,,,G,,,,,,,
7,林秉文,1,9,,1;1;0,,,1,,F,G,,K,,,,,,,
8,葉昀羲,16,2,1;1,3;7;0,,,,,HBP,E,,,,,,,,,
8,蕭清元,4,6,,,,1,,,,,,H,,,,,,,
9,劉祐宏,56,7,,,,1,,,F,E,,H,,,,,,,
