雙和聯盟20季,2023/12/10,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,1,0,0,,,,,,,,,,,,,,,,
凍未條,6,7,0,1,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
林凌,00,0,4,0,2,1,0,0,6,6,,L,,,,,,,,
曾翔,71,4,4,0,2,1,1,1,6,4,2;0,,,,,,,,,
劉祐宏,56,8,3,0,1,0,0,0,2,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6;3,,,,,,G,G,,,,,,,,,,
1,周奕節,27,3,1;0,,,,,,,,,2B,,,,,,,
2,張紘睿,5,4,1;1,,,,,BB,,,,,,,,,,,
2,楊皓為,68,4,1;0,,,,,,,BB,,K,,,,,,,
3,洪暘昕,18,7,1;1,,,1,,H,,H,,,,,,,,,
4,鄭凱駿,2,5;6;5,2;0,,1;0,,,BB,,F,,,,,,,,,
5,林凌,00,1;5,,,1;0,,,BB,,,,,,,,,,,
5,劉彧,12,9,,,,,,,,HBP,,,,,,,,,
6,何世馨,66,8,1;0,,,,,K,,K,,,,,,,,,
7,方威皓,21,2,,0;1;0,,1,,,2B,,,,,,,,,,
7,葉昀羲,16,2,,,,,,,,G,,,,,,,,,
8,蘇柏恩,23,3,,,,,,,,,,,,,,,,,
8,曾翔,71,1;6,4;0,,,,,,F,,G,,,,,,,,
9,劉祐宏,56,9;1,,,0;1,,1,,H,,K,,,,,,,,
