2024北市聯賽,2024/07/21,社子B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,0,2,3,,,,,,,,,,,,,,,
大力轟,2,1,1,0,1,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
方元廷,28,9,4,,1,,2,,4,2,1;0,,,,,,,,,
陳威全,77,6,1,,,,3,,1,,2;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3,,,,1,,H,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,何世馨,66,8,,,,,,H,,F,,,,,,,,,
2,周奕節,24,8,1;0,,,1,,,,,,BB,,,,,,,
3,洪暘昕,18,7,1;0,,1;0,,1,H,,K,,,,,,,,,
3,劉祐宏,56,7,,,,1,,,,,,H,,,,,,,
4,鄭凱駿,2,5,1;1,,1;1,,,G,,H,,BB,,,,,,,
4,槍手,X,5,,,,1,,,,,,,,,,,,,
5,林凌,00,2,1;1,0;2;0,,1,3,BB,,,BB,2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,蕭清元,4,6,1;0,,,,,K,,,F,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,蘇柏恩,23,DH,,,,1,,G,,,HBP,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,施漢煒,17,9,2;1,,,,,,K,,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,楊皓為,68,4,3;0,,1;0,,2,,F,,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,6,,,,,,,,,,,,
