雙和聯盟22季,2024/10/27,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,2,5,0,0,5,,,,,,,,,,,,,,,
吳興街友,2,0,1,0,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,2,,,1,6,1,5,1,1;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,張紘睿,5,DH;4,1;0,,1;0,1,,F,F,FC,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳冠宇,34,6,5;2,,2;0,3,,H,BB,,G,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,林凌,00,2,,0;2;0,,3,1,H,BB,,F,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,洪暘昕,18,9,,,1;1,,2,BB,2B,,K,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,3,,,,,,K,HBP,,HBP,FC,,,,,,,
5,劉兆珩,8,1,,,,,1,,,,,,,,,,,,
6,陳緯,15,5;3,1;1,,,1,2,,BB,HBP,F,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,周奕節,24,7,3;1,,,1,,,BB,K,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,何世馨,66,8,2;1,,,1,,,K,K,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,楊皓為,68,4,,,,1,1,,H,H,,,,,,,,,
9,曾翔,71,5,3;1,,,1,,,,,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,12,7,,,,,,,,,,,,
