新莊聯盟24春季,2024/11/24,新月橋,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,0,0,0,0,0,,,,,,,,,,,,,
熱血,2,1,0,0,1,2,-,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
郭茂楠,99,18,7,,2,,5,1,6,2,2;1,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,林凌,00,2,1;1,0;3;0,,,,K,,K,,H,,,,,,,
1,劉彧,12,2,,,,,,,,,,,,K,,,,,
2,陳冠宇,9,6,6;0,,1,1,,BB,,E,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,鄭凱駿,2,7,,,1,,1,H,,K,,FC,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,楊皓為,68,8,1;0,,,,,F,,,E,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,張紘睿,5,5,2;1,,,,,,F,,F,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,方元廷,28,3,1;0,,,,,,G,,H,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,蕭清元,4,4,1;0,,1,,,,G,,F,,,E,,,,,
,,,,,,,,,,,,,,,,,,,,
8,蘇柏恩,23,9,2;0,,,,,,,H,,G,,F,,,,,
,,,,,,,,,,,,,,,,,,,,
9,郭茂楠,99,1,,,,,,,,FC,,K,,K,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,1,1,,,,,,,,,,,,
