新莊聯盟24春季,2024/12/01,新月橋,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
音浪,0,1,0,2,0,2,,,,,,,,,,,,,,
Super8,3,1,0,0,0,2,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
楊皓為,68,10,4,,4,1,1,,3,3,1;0,,,,,,,,,
劉兆珩,8,8,5,,2,,2,1,2,2,1;0,BS;W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,3;0,,1;0,2,,2B,H,,F,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,洪暘昕,18,7,2;0,,0;1,,1,F,H,,H,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,鄭凱駿,2,2,1;1,0;4;0,,1,,BB,F,,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,2;0,,1;0,1,2,2B,,G,,BB,,,,,,,
4,槍手,199,4,,,1;0,,,,,,,,,,,,,,
5,陳緯,15,5,2;0,,,,,F,,H,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,周奕節,24,9,1;0,,,,,E,,FC,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,何世馨,66,8,2;0,,,1,,H,,G,,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,張紘睿,5,4,1;0,,,,,G,,,E,,,,,,,,
8,蘇柏恩,23,3,,,,,,,,,,,F,,,,,,
9,楊皓為,68,1,,,,,,,G,,,,,,,,,,
9,劉兆珩,8,1,,,,1,,,,,H,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,3,,,,,,,,,,,,
