雙和聯盟21季,2024/12/22,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,1,1,2,0,,,,,,,,,,,,,,,
Joba,0,0,0,0,1,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,2,,4,,5,1,1,1,2;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,5;0,,1;0,1,2,F,,2B,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,周奕節,24,8,,,1;0,,1,K,,H,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,1;1,,,F,,E,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方威皓,21,3,1;0,,1;1,,,,E,K,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,陳緯,15,5,1;0,,,1,,,BB,K,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,張紘睿,5,4,,,1;0,1,1,,H,,H,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,楊皓為,68,9,,,,,,,K,,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,葉昀羲,16,2,1;0,0;1;0,1;0,1,,,K,,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,劉彧,12,DH,,,,,,,,K,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,4,,,,,,,,,,,,
