友誼賽,2020/3/29,雙園C,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
老鷹,0,0,3,0,1,,,,,,,,,,,,,,,
Super8,0,0,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
方元廷,28,9,4,,3,,2,3,3,3,,L,,,,,,,,
邱冠融,73,3,1,,1,,1,,,,,,,,,,,,,
曾翔,71,3,,,1,,1,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,郭東昇,27,7,1;1,,,,,K,,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,3;1,,,,,HBP,,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,鄭凱駿,2,6,2;1,,,,,F,,,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,1;1,0;1;0,,,,,H,,K,,,,,,,,
4,方威皓,21,2,,,,,,,,,,,,,,,,,
5,黃奕瑋,22,5,1;0,,,,,,FC,,E,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,劉萬嘉,3,9,,,,,,,K,,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,邱冠融,73,8,,,,,,,K,,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,蘇柏恩,23,3,,,,,,,,F,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,陳宥竣,7,DH;6,1;0,,,,,,,H,,K,,,,,,,
9,劉祐宏,56,DH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,-,-,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
