2020北市聯賽,2020/6/14,社子A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
川弘,4,0,0,3,1,,,,,,,,,,,,,,,
Super8,5,0,1,1,1,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉昌翰,65,10,1,,7,,7,5,6,,1;1,,,,,,,,,
劉萬嘉,3,5,2,,1,,2,,2,1,2;2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3;6,1;0,,1;0,2,1,2B,HBP,HBP,,HBP,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,林宗毅,52,5;4,5;0,,,,1,K,G,FC,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,鄭凱駿,2,6;2,,0;1;0,4;0,1,1,H,H,BB,,IBB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,1;1,2;3;0,,1,,BB,,,,H,,,,,,,
4,郭東昇,27,9;7,,,1;0,,1,,K,K,,,,,,,,,
5,林秉文,1,9;2,,0;1;0,,1,,BB,G,,F,,,,,,,,
5,蘇柏恩,23,3,,,,,,,,,,F,,,,,,,
6,王柏鈞,9,7,,,1;0,2,,E,F,,BB,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,張紘睿,5,4,,,,,2,H,,G,H,,,,,,,,
7,黃奕瑋,22,5,,,,,,,,,,G,,,,,,,
8,劉祐宏,56,DH,,,,1,1,G,,E,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,,,,,1,HBP,,HBP,DP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,8,8,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
