雙和聯盟16季,2021/01/17,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
OMEGA,0,0,0,0,,,,,,,,,,,,,,,,
Super8,11,5,1,2,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,11,3,,2,,1,,0,0,2;0,W,,,,,,,,
劉昌翰,65,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5;6,2;0,,4;0,3,1,BB,H,BB,FC,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,1;0,,1;0,3,,BB,BB,BB,,,,,,,,,
2,劉祐宏,56,7,,,,,,,,,K,,,,,,,,
3,苗又元,6,6,2;1,,,2,1,HBP,H,F,,,,,,,,,
3,林宗毅,52,5;4,2;1,,1;0,1,,,,,H,,,,,,,,
4,林凌,00,2,2;0,,,1,4,BB,3B,BB,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,方元廷,28,3;5,1;0,,,1,5,H,F,H,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,王柏鈞,9,7;3,1;0,,2;0,3,2,2B,BB,F,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,林秉文,1,8,,,2;0,1,,F,BB,BB,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,陳緯,15,DH,,,4;0,3,2,H,BB,G,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,蘇昱先,77,9,,,1;0,1,1,BB,G,H,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,19,16,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
