雙和聯盟16季,2021/01/31,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,2,6,0,1,,,,,,,,,,,,,,,
飛行者,0,0,0,0,3,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,12,4,,,1,2,,0,0,1;0,W,,,,,,,,
洪暘昕,18,1,3,,2,,,,3,3,,,,,,,,,,
劉昌翰,65,2,,,,,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3,2;0,,2;0,1,,BB,BB,F,,,,,,,,,
1,陳柏誠,11,3,,,,,,,,,BB,,,,,,,,
2,陳緯,15,5,2;0,,,,1,HBP,F,BB,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,苗又元,6,6,2;0,,,,1,G,F,FC,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,1;0,0;3;0,1;0,1,1,BB,,2B,H,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,DH,,,,2,2,FC,,H,F,2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,王柏鈞,9,7,,,,1,,K,,E,K,,,,,,,,
6,方威皓,21,7,,,,,,,,,,HBP,,,,,,,
7,林宗毅,52,4,2;0,,,1,,,K,H,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,蘇昱先,77,9,,,,2,,,BB,BB,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,1;1,,1;0,2,,,H,H,,,,,,,,,
9,林秉文,1,8,1;0,,,,,,,,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,10,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
