2021北市聯賽,2021/09/26,社子A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,0,0,,,,,,,,,,,,,,,,
實踐OB,4,6,2,-,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
賴怡東,19,4,7,,,2,1,,10,4,1;1,L,,,,,,,,
林凌,00,4,1,,2,1,3,,2,2,,,,,,,,,,
方元廷,28,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,4;2,,0;1,,,BB,,,,,,,,,,,
1,林宗毅,52,4,,,,,,,,K,K,,,,,,,,
2,陳緯,15,4;5,1;1,,,,,K,,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,苗又元,6,6,1;0,,,,,K,,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,,0;2;0,,,,,G,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,DH;1,,,,,,,HBP,G,,,,,,,,,
5,蘇柏恩,23,3,,,,,,,,,,,,,,,,,
6,洪暘昕,18,7,,,,,,,H,,,,,,,,,,
6,張紘睿,5,7,,,,,,,,,H,,,,,,,,
7,方元廷,28,3;1,,,1;0,,,,F,,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,林秉文,1,9,,,,,,,BB,,G,,,,,,,,
8,劉祐宏,56,8,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,2;1,,,,,,K,,BB,,,,,,,,
9,劉彧,12,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,-,-,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
