雙和聯盟16季,2021/12/12,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Faspo Heroes,5,4,0,0,,,,,,,,,,,,,,,,
Super8,3,0,0,2,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,5,3,,5,,5,1,9,,,L,,,,,,,,
賴怡東,19,7,1,,1,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,4;6,1;0,,1;0,2,,E,BB,,E,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳緯,15,6,1;1,,,1,,HBP,FC,,,,,,,,,,
2,楊皓為,68,4,1;0,,,,1,,,,SF,,,,,,,,
3,方元廷,28,5;3,2;1,,,1,,E,FC,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,1;1,1;4;0,1;0,,2,H,K,,,,,,,,,,
4,葉昀羲,16,2,,,,,,,,,K,,,,,,,,
5,洪暘昕,18,9,1;1,,,,,F,,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,賴怡東,19,DH,,,,,,F,,BB,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,蘇柏恩,23,3,1;0,,,,,BB,,,,,,,,,,,
7,洪清心,13,5,,,,,,,,H,,,,,,,,,
8,郭東昇,27,7,1;0,,,,,BB,,,,,,,,,,,
8,林秉文,1,7,,,,,,,,DP,,,,,,,,,
9,邱冠融,73,8,,,,,,K,,,,,,,,,,,
9,苗又元,6,8,,,,1,,,,,E,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,5,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
