雙和聯盟18季,2022/05/29,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,0,2,4,0,,,,,,,,,,,,,,
巨匠旅遊,2,6,0,3,0,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,,,,,,,,,
方元廷,28,6,7,,4,1,,1,8,4,1;0,,,,,,,,,
劉兆珩,8,9,4,,,,2,,3,,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,5,6,7,9,10,11,12
1,陳宥竣,7,5;3,4;1,,1;0,1,,BB,,E,,BB,,G,,,,,
2,張紘睿,5,4,4;1,,,,,K,,F,,,,,,,,,
2,林宗毅,52,4,2;0,,,1,,,,,,BB,,K,,,,,
3,陳昱仁,58,6;8,2;1,,,,2,K,,,F,H,,,,,,,
3,陳威宇,33,9,1;0,,,,,,,,,,,G,,,,,
4,鄭凱駿,2,2,,0;2;0,,,,K,,,,,,,,,,,
4,葉昀羲,8,2,,,,2,1,,,,BB,H,,,,,,,
5,林凌,00,DH,,,,1,,,F,,BB,K,,,,,,,
6,洪暘昕,18,7,,,1;0,,,,G,,F,BB,,,,,,,
7,蘇柏恩,23,3,,,,,,,K,,,,,,,,,,
7,蕭清元,4,5,,,,,1,,,,H,E,,,,,,,
8,劉祐宏,56,9,,,,,,,,K,,,,,,,,,
8,郭東昇,27,9;8,1;0,,,,,,,,K,BB,,,,,,,
9,邱冠融,73,8,1;1,,,,,,,H,,,,,,,,,
9,曾翔,71,6,2;2,,,1,,,,,,H,K,,,,,,
