2022北市聯賽,2022/07/10,社子C,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,1,0,1,0,0,,,,,,,,,,,,,,
台大化工,1,0,0,0,0,0,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,9,2,,1,,5,1,1,,2;0,W,,,,,,,,
賴怡東,19,9,,,,,5,,,,1;0,SV,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3;6,2;0,,,,,FO,,FO,BB,,,,,,,,
2,陳昱仁,58,8,,,1;0,,,BB,,K,GO,,,,,,,,
3,洪暘昕,18,7,,,,,,K,,BB,,K,,,,,,,
4,鄭凱駿,2,2,,0;5;0,,,,GO,,GO,,K,,,,,,,
5,林凌,00,5,,,,,,,GO,,FO,K,,,,,,,
6,賴怡東,19,6;1,2;2,,,2,,,2B,,2B,,FO,,,,,,
7,蘇柏恩,23,DH;3,2;1,,,,2,,H,,1B,,FO,,,,,,
8,張紘睿,5,4,1;0,,,,,,K,,FO,,FO,,,,,,
8,楊皓為,68,4,,,,,,,,,,,,,,,,,
9,王柏鈞,9,9,1;0,,,,,,GO,,2B,,,,,,,,
