雙和聯盟19季,2023/05/07,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
星漾,1,0,1,0,2,,,,,,,,,,,,,,,
Super8,3,0,1,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,5,0,1,0,8,2,4,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,蕭清元,4,6,4;1,,,1,,BB,G,,K,,,,,,,,
2,張紘睿,5,4,1;1,,,1,,H,K,,,,,,,,,,
2,楊皓為,68,4,,,,,,,,,,F,,,,,,,
3,方元廷,28,3,4;0,,1;0,2,1,E,,2B,,H,,,,,,,
4,林凌,00,2,1;1,0;2;0,,,,K,,F,,,,,,,,,
4,葉昀羲,16,2,,1;2;0,,,,,,,,FC,,,,,,,
5,陳緯,15,5,,,,,,E,,G,,K,,,,,,,
6,蘇柏恩,23,DH,,,,,1,K,,H,,,,,,,,,
7,何世馨,66,8,,,,,2,H,,FC,,,,,,,,,
8,劉祐宏,56,9,,,,,,G,,,,,,,,,,,
8,劉彧,12,9,,,,,,,,,G,,,,,,,,
9,郭東昇,27,7,,,,,,,K,,K,,,,,,,,
