2023北市聯賽,2023/07/23,社子B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,2,2,2,4,,,,,,,,,,,,,,,,
弱山G青蛙,0,0,4,0,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
方元廷,28,8,3,0,1,0,4,0,2,2,1;0,W,,,,,,,,
鄭凱駿,5,4,3,0,2,0,0,0,2,0,1;1,SV,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,楊皓為,68,2,,,,,1,K,F,F,BB,,,,,,,,
2,張紘睿,5,5,,,,1,,H,BB,,K,E,,,,,,,
3,陳緯,15,6,,,,1,1,HBP,H,,H,F,,,,,,,
4,洪暘昕,18,7,,,1;0,2,1,H,DP,,2B,,,,,,,,
5,方威皓,21,2,1;1,0;1;0,2;0,1,,FC,,HBP,E,,,,,,,,
5,陳宥竣,7,2,1;0,,,1,,,,,,,,,,,,,
6,蘇柏恩,23,3,2;0,,,2,,K,,H,BB,,,,,,,,
6,鄭凱駿,2,1,,,,,,,,,,,,,,,,,
7,邱冠融,73,8,1;0,,2,1,,,H,K,K,,,,,,,,
8,劉彧,12,DH,,,,2,,,HBP,BB,HBP,,,,,,,,
8,方元廷,28,DH,2;0,,,,1,,,,,,,,,,,,
9,林秉文,1,9,,0;0;1,,,,,BB,K,BB,,,,,,,,
