雙和聯盟20季,2023/10/22,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
吳興街友,0,1,0,1,1,,,,,,,,,,,,,,,
Super8,0,0,0,1,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,2,0,2,1,7,0,3,0,3;1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6,1;1,,1;0,1,,BB,,H,,BB,,,,,,,
2,張紘睿,5,4,2;0,,,1,,F,,F,,FC,,,,,,,
3,方威皓,21,7,1;0,,,,,F,,F,,G,,,,,,,
4,鄭凱駿,2,DH,,,1;0,,,K,,,K,HBP,,,,,,,
5,林凌,00,5,1;0,,1;0,1,,,G,,BB,BB,,,,,,,
6,林秉文,1,8,2;0,,,,1,,K,,G,HBP,,,,,,,
7,蘇柏恩,23,3,,,,,,,K,,,,,,,,,,
7,曾翔,77,3,1;1,,1;0,,,,,,BB,K,,,,,,,
8,葉昀羲,16,2,,0;4;0,,,,,,BB,K,,,,,,,,
9,楊皓為,68,9,,,,,,,,K,,,,,,,,,
9,周奕節,24,9,,,1;0,,,,,,,BB,,,,,,,
