雙和聯盟20季,2024/03/17,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,1,0,0,2,,,,,,,,,,,,,,
龍安,0,0,0,0,0,1,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,18,6,,2,,9,,1,1,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,洪暘昕,18,7,,,1;0,1,,BB,,G,K,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,,,,,,G,,F,,,,,,,,,
2,楊皓為,68,4,1;0,,1;0,1,1,,,,,K,H,,,,,,
3,方元廷,28,3,1;0,,1;0,1,2,SF,,2B,,H,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,0,2,,,1;0,,1,BB,,H,,,,,,,,,
4,葉昀羲,16,2,1;0,,,,,,,,,K,G,,,,,,
5,何世馨,66,8,1;0,,1;0,,,G,,E,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,蕭清元,4,6,3;1,,,,,,G,K,,,,,,,,,
6,曾翔,71,6,2;0,,,,,,,,,BB,,,,,,,
7,蘇柏恩,23,DH,,,1;0,,,,E,,G,,,,,,,,
7,楊晨晧,74,DH,,,,,,,,,,F,,,,,,,
8,陳緯,15,5,1;0,,,,,,F,,K,,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,郭東昇,27,9,,,,,,,K,,,,,,,,,,
9,施漢煒,17,9,,,1;0,1,,,,,H,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,4,,,,,,,,,,,,
