新莊聯盟24春季,2024/10/06,新月橋,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,2,0,0,0,2,,,,,,,,,,,,,,,
星漾,1,1,0,1,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,2,,7,1,4,,3,0,2;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,5;1,,,1,,E,,F,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,3,2;1,,,1,1,2B,,H,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,9;7,1;0,,2;0,1,,G,,H,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,5,,,,1,1,SF,,K,,HBP,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,2,1;0,0;4;0,,,,F,,BB,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,陳昱仁,58,7,,,,,,,K,F,,FC,,,,,,,
6,劉兆珩,8,1,,,1;0,,1,,,,,,,,,,,,
7,周奕節,24,8,,,,,1,,F,,G,SF,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,張紘睿,5,4,3;1,,1;0,,,,BB,,2B,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,楊皓為,68,DH;9,,,1;0,,,,G,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,4,,,,,,,,,,,,
