雙和聯盟22季,2025/01/19,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
海神,0,0,0,0,1,2,,,,,,,,,,,,,,
Super8,0,0,3,0,1,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
曾翔,71,18,4,,9,,1,1,3,1,1;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,曾翔,71,1,,,,2,1,F,,H,,HBP,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,周奕節,24,5;9,3;0,,,1,,F,,H,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,何世馨,66,8,1;0,,,,1,G,,H,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,張紘睿,5,6;4,7;1,,,,,,G,G,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,蘇柏恩,23,3,,,,,,,K,,,,,,,,,,
5,陳冠宇,9,6,3;1,,,,,,,,E,F,,,,,,,
6,楊皓為,68,9;3,1;0,,1;0,,,,K,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,方威皓,21,2,,1;3;0,,,,,,F,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,洪暘昕,18,7,,,1;0,1,,,,BB,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,陳緯,15,4;5,4;1,,,,,,,F,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,2,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
