雙和聯盟22季,2025/03/22,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,0,0,5,0,0,,,,,,,,,,,,,
無限工程,0,0,1,0,0,0,0,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
陳威全,77,21,9,,,1,6,,1,1,1;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,張紘睿,5,6,5;1,,,1,3,G,,BB,,2B,,G,,,,,
,,,,,,,,,,,,,,,,,,,,
2,洪暘昕,18,7,2;0,,1;0,1,1,BB,,F,,E,,F,,,,,
,,,,,,,,,,,,,,,,,,,,
3,陳緯,15,5,2;0,,,,1,G,,,K,H,,K,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,2;0,,,,,G,,,F,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,2,,0;2;0,,,,,H,,K,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,楊皓為,68,8,,,,1,,,E,,,2B,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,槍手,199,9,,,,1,,,DP,,,HBP,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,槍手,199,4,4;0,,,,,,K,,,F,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,陳威全,77,1,,,,1,,,,K,,H,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,5,5,,,,,,,,,,,,
