雙和聯盟22季,2025/6/15,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
LeReve,0,1,1,0,6,,,,,,,,,,,,,,,
Super8,1,0,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,14,8,,3,,6,2,6,3,,L,,,,,,,,
曾翔,71,1,3,,1,1,,1,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,曾翔,71,6;1,3;0,,,1,,2B,F,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,楊皓為,68,8,1;0,,,,,E,,F,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,方元廷,28,3;5,,,,,,E,,H,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,葉昀羲,16,2;9,,0;7;0,,,,HBP,,K,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,陳緯,15,5;6,3;1,,,,,K,,F,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,郭茂楠,99,9;2,1;0,0;1;0,,,,K,,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,張紘睿,5,4,1;0,,,,,G,,,2B,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,槍手,199,7,1;0,,,,,,G,,HBP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,陳宥竣,7,DH;3,,,,,,,F,,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,1,-,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
