2025北市聯賽,2025/07/27,社子B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
新八七野蠻人,4,0,0,0,1,,,,,,,,,,,,,,,
Super8,0,1,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
槍手,199,15,7,,3,2,6,2,5,3,,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,3;0,,,,,H,,G,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,3,,,,,,H,,E,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,方元廷,28,5,3;1,,,,,DP,,FC,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,郭茂楠,99,2,1;1,1;3;0,,,,F,,F,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,楊皓為,68,9,,,,,,,G,,HBP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,張紘睿,5,4,1;0,,,,,,F,,DP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,槍手,199,8,2;0,,1;0,1,,,BB,,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,槍手,199,1,,,,,1,,H,,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,郭東昇,27,7,1;0,,,,,,G,,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,1,1,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
