2025北市聯賽,2025/08/10,社子A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,2,3,0,0,,,,,,,,,,,,,,,
龍鑫照明,2,2,0,0,1,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,4,,4,1,6,0,5,1,1;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,4;1,,,0,2,G,H,BB,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,DH,,,,1,1,E,H,K,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,2;1,,,0,0,H,G,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3;5,1;0,,,1,1,FC,,E,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,鄭凱駿,2,5,1;0,,,1,0,K,,BB,,,,,,,,,
5,蘇柏恩,23,3,1;0,,,0,0,,,,K,,,,,,,,
6,郭茂楠,99,2,2;2,0;6;0,,1,1,,F,H,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,張紘睿,5,4,,,,1,0,,H,H,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,楊皓為,68,9,,,,0,0,,K,K,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,何世馨,66,8,,,,1,0,,H,HBP,,,,,,,,,
,槍手,6,8,1;0,,,,,,,,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
