雙和聯盟22季,2025/8/31,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,3,0,0,3,1,0,,,,,,,,,,,,,,
伍壹車庫,1,0,0,0,0,1,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
陳威全,77,12,3,,1,1,5,,1,1,3;0,W,,,,,,,,
劉兆珩,8,6,1,,2,,1,,1,1,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,2;0,,1;0,1,,BB,K,,F,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,5,,,,1,1,BB,F,,2B,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,8,,,,2,,H,F,,HBP,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,1;0,,,,1,SF,,G,BB,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,劉兆珩,8,DH,,,,1,1,H,,F,BB,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,方威皓,21,7,,,,,1,FC,,HBP,BB,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,蘇柏恩,23,4,2;0,,,,,HBP,,G,G,,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,葉昀羲,16,2,,0;6;1,,1,1,HBP,,,H,,,,,,,,
8,鄭凱駿,2,2,,0;4;0,,,,,,,,H,,,,,,,
9,陳宥竣,7,9,2;0,,,1,,F,,,K,HBP,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,7,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
