雙和聯盟22季,2025/12/28,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
熱血,1,0,0,0,0,0,1,,,,,,,,,,,,,
Super8,1,0,3,0,3,0,-,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,21,6,,2,,4,1,2,1,2;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,5;0,,1;0,1,,H,,K,F,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,6;0,,1;0,2,,G,,H,,H,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,,,K,,K,,F,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,槍手,199,5,4;1,,2;0,2,2,H,,2B,,E,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,2,,1;1;0,1;0,1,,F,,E,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,蘇柏恩,23,3,,,,,,,G,E,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,槍手,199,9,1;0,,,,1,,K,,F,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,陳昱仁,58,8,,,,,,,G,,F,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,楊皓為,68,DH,,,,1,,,,2B,H,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,7,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
