新莊聯盟25春季,2026/1/25,新月橋棒球場,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,,
Super 8,8,0,0,0,1,,,,,,,,,,,,,,,
音浪,8,7,0,1,x,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,,
陳宥竣,7,4,11,1,3,0,2,0,10,10,,L,,,,,,,,
張紘睿,5,8,4,0,1,0,0,0,6,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,1,2,3,4,5,6,7,9,10,11,12
1,陳冠宇,9,6,4;2,,,2,1,H,2B,,H,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,9;1,1;0,,,1,,HBP,BB,,G,,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,,1,K,H,,H,,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,2;0,,,1,1,H,G,,,G,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,鄭凱駿,2,5,,,,1,,BB,,K,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,林凌,00,2,,,1;0,1,1,BB,,G,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,蘇柏恩,23,4;9,1;0,,,,,E,,H,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,簡林倫,19,8,1;0,,1;0,2,,FC,,K,,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,陳宥竣,7,1;9;4,3;0,,,1,,E,,,G,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,9,4,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
