雙和聯盟23季,2026/4/12,中正A,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,
Super 8,0,0,0,0,0,,,,,,,,,,,,,,
日初太陽,1,0,0,3,X,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,
劉兆珩,8,9,0,0,4,1,5,0,1,1,2;1,L,,,,,,,
廖奕榤,40,3,2,0,1,0,1,0,3,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,9,10,11,12
1,陳冠宇,9,6,3;0,,,,,K,,E,,K,,,,,,
,,,,,,,,,,,,,,,,,,,
2,廖奕榤,40,5;1,,,1;0,,,2B,,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7;3,,,,,,F,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,陳宥竣,7,3;5,1;0,,,,,F,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,張紘睿,5,4,2;1,,,,,,K,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,郭茂楠,99,2,,,,,,,F,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,楊皓為,68,DH,,,1;0,,,,HBP,,,,,,,,,
7,簡林倫,19,9,1;1,,,,,,,,K,,,,,,,
8,林釗弘,11,9;7,,,,,,,K,,,G,,,,,,
,,,,,,,,,,,,,,,,,,,
9,何世馨,66,8,,,,,,,,H,,G,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total,,,,,,,-,-,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,
