雙和聯盟23季,2026/5/17,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,,
Super 8,0,0,0,0,0,,,,,,,,,,,,,,,
熱血,1,0,2,0,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,,
郭茂楠,99,15,7,0,2,0,5,2,5,3,2;0,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,5;0,,3;0,,,H,,H,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,曾義翔,88,9,,,,,,K,,BB,,,,,,,,,
2,簡林倫,19,9,1;1,,,,,,,,K,,,,,,,,
3,洪暘昕,18,7,1;0,,,,,K,,F,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,,,,,,BB,,K,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,DH,,,,,,HBP,,F,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,陳緯,15,5,1;1,,,,,F,,,H,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,葉昀羲,16,2,,0;2;0,,,,,F,,K,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,陳宥竣,7,4,1;0,,,,,,F,,K,,,,,,,,
8,楊皓為,68,4,1;0,,,,,,,,,,,,,,,,
9,何世馨,66,8,,,,,,,K,,,,,,,,,,
9,周奕節,24,8,,,,,,,,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,-,-,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
