新莊聯盟26春季,2026/5/24,新月橋棒球場,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,,
Super 8,3,3,3,0,2,,,,,,,,,,,,,,,
後港傭兵,0,1,0,0,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,,
槍手,199,9,0,0,2,1,4,1,1,1,,W,,,,,,,,
廖奕榤,40,6,1,0,0,0,3,0,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,2;1,,2;0,2,,BB,BB,G,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,2;1,,1;0,1,1,G,SF,H,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,廖奕榤,40,8;1,1;0,,2;0,2,4,H,H,H,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,洪暘昕,18,7,1;0,,,3,,BB,BB,K,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,DH;2,,,,,2,H,FC,G,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,林凌,00,2,,0;1;0,,,1,F,H,,,,,,,,,,
6,蘇柏恩,23,3,,,,,1,,,,K,G,,,,,,,
7,曾義翔,88,9,,,,,1,H,FC,,2B,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,陳緯,15,5,2;0,,,1,,F,,2B,,,,,,,,,
8,陳宥竣,7,5,2;0,,,,,,,,G,,,,,,,,
9,周奕節,24,3;8,1;1,,2;0,2,1,,HBP,2B,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,11,11,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
