雙和聯盟23季,2026/5/31,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,,
礦工人,0,0,0,0,7,,,,,,,,,,,,,,,
Super 8,0,1,2,0,4,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,,
劉兆珩,8,12,3,0,0,0,7,0,0,0,2;0,,,,,,,,,
廖奕榤,40,3,3,0,2,0,0,0,7,2,,BS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,廖奕榤,40,8;1,1;0,,2;0,2,,K,,H,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,,,,,,G,,BB,,,,,,,,,
2,蘇柏恩,23,4,,,,,,,,,,F,,,,,,,
3,洪暘昕,18,7,,,,1,,K,,FC,,,,,,,,,
3,簡林倫,19,7,,,1;0,1,,,,,,K,,,,,,,
4,方元廷,28,3,,,1;0,1,1,,E,2B,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,DH;2,,0;2;0,1;0,1,,,FC,K,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,林凌,00,5,4;1,,,,,,K,,F,,,,,,,,
6,陳宥竣,7,5,,,,,1,,,,,G,,,,,,,
7,曾義翔,88,9,,,,,1,,H,,G,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,葉昀羲,16,2,,0;1;0,,,,,K,,,,,,,,,,
8,周奕節,24,8,1;1,,,,,,,,F,,,,,,,,
9,陳威全,77,6,4;2,,1;0,1,,,,K,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,7,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
