2026北市聯賽,2026/07/05,社子A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,1,0,0,0,0,,,,,,,,,,,,,,
樂魔國際,0,0,2,2,0,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
郭茂楠,99,15,8,,1,,6,1,4,3,2;0,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,,,,,,G,,K,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,2;0,,,,,G,,E,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,2;0,,0;1,,,H,,H,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,,0;4;0,0;1,,,F,,F,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,曾義翔,88,9,,,1;0,,,,G,,H,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,陳宥竣,7,5,2;0,,2;0,1,,,BB,,H,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,周奕節,24,3,1;0,,,,,,FC,,F,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,簡林倫,19,DH,,,,,1,,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,郭東昇,27,8,1;1,,,,,,K,,HBP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,1,1,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
