2026北市聯賽,2026/07/19,社子C,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
新八七野蠻人,2,1,2,1,0,,,,,,,,,,,,,,,
Super8,0,0,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,9,3,,4,,3,2,5,3,1;0,L,,,,,,,,
槍手,199,6,2,,,,3,,1,1,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,1;0,,,,,G,,G,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,5,1;1,,,,,E,,G,,,,,,,,,
2,何世馨,66,8,,,,,,,,,,G,,,,,,,
3,洪暘昕,18,7,2;0,,,,,BB,,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3;5,1;1,,,,,H,,,2B,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,2,,0;5;0,,,,F,,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,曾義翔,88,9,,,1;0,,,F,,,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,周奕節,24,8;3,2;0,,,,,,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,楊皓為,68,4,2;0,,,,,,K,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,簡林倫,19,DH,,,,,,,K,,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,-,-,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
